ID студента,ФИО,Год поступления,Статус,Средний балл,Год выпуска,Город,Комментарий
STU001098,Лебедев Татьяна Дмитриевна,23.10.2020,выпущен,3.26,2025,Москва,
STU002184,Козлов Татьяна Сергеевна,11/01/2017,выпущен,"4,75",2022,Новосибирск,
,Козлов Алина Павлович,2020-02-20,отчислен,3.59,2026,Екатеринбург,академ отпуск
STU001140,Козлов Павел Михайлович,06/01/2019,Учится,3.49,2025,Томск,
STU001140,Козлов Павел Михайлович,2019-09-28,отчислен,3.67,2025,Екатеринбург,перевод
STU000639,Соколов Дарья Дмитриевич,2020-10-26,отчислен,"4,46",2024,Томск,перевод
STU002184,Козлов Татьяна Сергеевна,2017,выпущен,4.93,2022,Екатеринбург,перевод
STU001712,Иванов Дмитрий Михайловна,2016,graduated,"3,05",2022,Москва,
STU001162,Кузнецов Виктория Павловна,22.09.2018,академ,"4,35",2022,СПб,
STU000671,Петров Егор Михайлович,08/18/2019,отчислен,3.86,2024,Томск,
STU000726,Козлов Ольга Дмитриевич,2020,академ,"3,18",2025,Томск,повтор
STU001490,Лебедев Михаил Михайловна,2017,graduated,"4,60",2022,СПб,
STU001745,Иванов Михаил Михайлович,2017,graduated,5.00,2023,СПб,академ отпуск
STU000273,Соколов Михаил Алексеевич,2016,отчислен,"3,53",2020,СПб,повтор
STU001127,Кузнецов Иван Павлович,02.03.2018,graduated,4.76,2023,Казань,
,Смирнов Анна Сергеевна,14.04.2020,обучается,"4,23",2025,Новосибирск,повтор
STU001270,Козлов Мария Михайлович,06.04.2016,выпущен,3.72,2020,Москва,повтор
STU001397,Иванов Павел Дмитриевна,2019,выпущен,3.92,2024,Москва,академ отпуск
STU002019,Попов Анна Ивановна,07/03/2017,отчислен,"3,13",2021,СПб,перевод
STU002337,Козлов Татьяна Сергеевич,2019-04-05,ACTIVE,"4,75",2024,СПб,повтор
STU001943,Лебедев Анна Павловна,2018,выпущен,3.28,2022,Казань,
STU001958,Иванов Мария Ивановна,2017,выпущен,4.13,2021,Казань,перевод
STU001692,Иванов Татьяна Сергеевич,2016-02-07,graduated,"4,19",2021,Казань,
,Козлов Алина Иванович,01/08/2016,отчислен,4.70,2020,СПб,повтор
STU001875,Соколов Мария Михайловна,2019,suspended,3.14,2024,Казань,перевод
STU001376,Попов Мария Ивановна,06/24/2016,suspended,"3,67",2022,Новосибирск,перевод
STU001451,Лебедев Мария Алексеевна,2020,выпущен,"4,04",2025,Москва,академ отпуск
STU001248,Петров Павел Ивановна,03.09.2016,отчислен,4.49,2021,Москва,повтор
STU001751,Попов Иван Иванович,07/09/2020,отчислен,3.71,2026,Томск,академ отпуск
STU000392,Соколов Иван Алексеевна,2016-08-11,выпущен,3.12,2020,Томск,
STU001129,Козлов Мария Алексеевна,2018,graduated,3.71,2022,СПб,академ отпуск
STU000319,Соколов Алина Алексеевна,06/18/2016,отчислен,4.85,2020,Москва,повтор
STU000600,Попов Михаил Алексеевна,07/28/2019,выпущен,3.48,2024,Новосибирск,
STU001500,Иванов Никита Сергеевна,2018,отчислен,3.63,2022,Томск,академ отпуск
STU002242,Козлов Павел Сергеевна,22.05.2019,выпущен,"4,70",2025,Екатеринбург,академ отпуск
STU001031,Соколов Никита Алексеевич,2018,выпущен,3.53,2022,СПб,
STU001822,Смирнов Татьяна Алексеевна,08/27/2018,выпущен,"4,88",2022,Томск,
STU002184,Козлов Татьяна Сергеевна,2017,выпущен,4.73,2022,Екатеринбург,
STU001811,Попов Елена Михайловна,2020,отчислен,3.98,2024,Екатеринбург,академ отпуск
STU000100,Иванов Елена Михайловна,2020,выпущен,"3,62",2025,Москва,
STU001862,Соколов Дарья Алексеевна,03/24/2018,выпущен,3.92,2024,Казань,академ отпуск
,Козлов Елена Алексеевич,2020-03-20,выпущен,"3,63",2024,Новосибирск,
STU001221,Смирнов Никита Павлович,04/21/2018,выпущен,4.11,2023,Новосибирск,
STU000873,Иванов Елена Ивановна,2020,отчислен,3.82,2024,Казань,
STU000955,Кузнецов Мария Иванович,2017-11-15,обучается,"3,47",2021,СПб,академ отпуск
,Лебедев Никита Павлович,2019,graduated,"3,58",2025,Москва,академ отпуск
STU001048,Козлов Виктория Михайловна,08.05.2019,обучается,3.88,2024,Казань,
STU001100,Смирнов Алексей Алексеевна,06/02/2017,академ,"3,97",2021,Томск,перевод
STU000937,Петров Татьяна Михайловна,07.11.2017,suspended,4.36,2022,СПб,
STU001752,Попов Дарья Алексеевна,07/04/2020,enrolled,4.27,2026,Екатеринбург,
STU001221,Смирнов Никита Павлович,2018-01-13,выпущен,3.48,2023,Томск,академ отпуск
STU000816,Попов Елена Павловна,04/05/2018,выпущен,4.71,2022,Томск,
STU000636,Козлов Михаил Алексеевна,2017-10-19,обучается,"4,16",2023,Казань,перевод
STU002323,Попов Татьяна Дмитриевич,06.06.2016,выпущен,"2,84",2021,Новосибирск,
STU002054,Козлов Татьяна Алексеевна,18.03.2016,graduated,4.86,2020,Новосибирск,
STU000271,Попов Иван Сергеевна,02/17/2016,выпущен,4.49,2020,Новосибирск,перевод
STU000439,Лебедев Дмитрий Сергеевна,2016,graduated,"4,09",2020,Казань,
STU000901,Попов Мария Ивановна,2018,отчислен,4.07,2024,Екатеринбург,повтор
STU000726,Козлов Ольга Дмитриевич,2020-01-22,выпущен,"3,30",2025,Новосибирск,академ отпуск
STU002056,Смирнов Павел Сергеевна,25.11.2016,выпущен,"3,69",2021,Москва,перевод
STU001533,Козлов Павел Дмитриевна,10/08/2017,отчислен,,2022,Томск,
STU000196,Попов Никита Дмитриевна,2017,отчислен,2.89,2021,Томск,академ отпуск
STU001672,Кузнецов Алексей Михайловна,2019,ACTIVE,4.77,2025,Екатеринбург,перевод
STU001718,Кузнецов Алина Ивановна,2020,выпущен,5.00,2026,Новосибирск,
STU001258,Попов Татьяна Алексеевич,2020-06-21,отчислен,4.70,2026,СПб,
STU000135,Соколов Мария Алексеевна,2019-01-11,выпущен,4.52,2025,СПб,
STU000600,Попов Михаил Алексеевна,11/26/2019,выпущен,"3,41",2024,СПб,перевод
STU001266,Иванов Анна Алексеевна,02/28/2017,обучается,"4,11",2022,Томск,повтор
STU002001,Кузнецов Михаил Алексеевна,04/10/2017,graduated,"4,21",2022,Москва,
STU001264,Козлов Ольга Ивановна,2016,выпущен,"4,05",2021,Томск,
,Козлов Елена Алексеевич,03.07.2020,graduated,,2024,СПб,перевод
STU001893,Смирнов Михаил Сергеевна,2018-09-17,выпущен,3.86,2022,Томск,повтор
STU001125,Соколов Никита Дмитриевич,17.11.2017,в академе,3.16,2023,Екатеринбург,академ отпуск
STU001979,Попов Михаил Павлович,11.09.2017,отчислен,3.86,2023,Новосибирск,
STU001710,Попов Виктория Алексеевич,2019,выпущен,4.40,2024,Москва,повтор
STU002099,Кузнецов Егор Сергеевна,18.04.2017,suspended,3.22,2021,Казань,академ отпуск
STU000257,Козлов Павел Михайлович,2019-06-21,отчислен,3.60,2024,Новосибирск,
STU000939,Петров Виктория Михайловна,2016-05-09,отчислен,"4,97",2021,Томск,
STU001718,Кузнецов Алина Ивановна,04/11/2020,Учится,5.00,2026,Москва,академ отпуск
,Смирнов Сергей Михайловна,13.04.2017,выпущен,3.00,2023,Екатеринбург,повтор
,Петров Елена Михайловна,04.04.2017,выпущен,3.72,2023,Новосибирск,повтор
STU000374,Иванов Павел Иванович,03/09/2019,выпущен,"4,01",2023,Казань,академ отпуск
STU000379,Лебедев Виктория Павловна,2020-08-03,Учится,4.51,2026,Казань,
STU002230,Смирнов Алексей Ивановна,2018-07-15,выпущен,3.72,2024,Новосибирск,
STU000728,Попов Алексей Дмитриевич,2020,Учится,3.84,2024,СПб,повтор
STU000872,Лебедев Егор Алексеевна,24.04.2020,в академе,"4,67",2025,Томск,повтор
STU001100,Смирнов Алексей Алексеевна,10/23/2017,отчислен,"4,14",2021,СПб,
,Лебедев Мария Сергеевна,2020-10-28,Учится,3.77,2025,Екатеринбург,академ отпуск
STU000651,Смирнов Егор Павловна,2016,выпущен,"4,57",2022,Екатеринбург,перевод
STU002234,Смирнов Мария Ивановна,2020-02-22,выпущен,4.46,2024,Новосибирск,перевод
STU002357,Козлов Татьяна Сергеевна,01/28/2017,выпущен,4.44,2022,Новосибирск,академ отпуск
STU001396,Попов Ольга Сергеевич,11/18/2018,graduated,3.30,2022,Казань,перевод
STU002234,Смирнов Мария Ивановна,2020-02-13,выпущен,4.74,2024,Екатеринбург,академ отпуск
STU000764,Попов Анна Михайловна,08/15/2019,выпущен,"4,39",2023,Казань,перевод
STU002377,Кузнецов Татьяна Павлович,10/25/2019,выпущен,"3,28",2023,Екатеринбург,
STU001753,Соколов Михаил Дмитриевна,02.09.2016,обучается,5.00,2021,СПб,повтор
STU002259,Лебедев Павел Павловна,04/28/2019,выпущен,4.04,2023,Новосибирск,
STU001151,Смирнов Виктория Сергеевна,2018,выпущен,,2024,СПб,
STU000939,Петров Виктория Михайловна,2016-01-01,обучается,4.44,2021,Екатеринбург,академ отпуск
STU001652,Смирнов Елена Ивановна,2020,graduated,,2024,Новосибирск,
STU001141,Соколов Алексей Иванович,07.11.2017,выпущен,4.80,2023,Москва,перевод
STU001495,Иванов Анна Павлович,2018,Учится,3.37,2022,Казань,академ отпуск
STU001202,Смирнов Алексей Алексеевна,19.04.2020,отчислен,3.64,2024,Томск,перевод
STU002251,Петров Анна Павловна,2018-12-17,выпущен,2.97,2022,СПб,повтор
STU001414,Иванов Анна Сергеевич,01/07/2017,отчислен,"4,57",2023,Москва,академ отпуск
STU000715,Иванов Елена Алексеевна,09/08/2018,выпущен,3.53,2024,Казань,перевод
STU001875,Соколов Мария Михайловна,26.10.2019,Учится,3.20,2024,Екатеринбург,
STU000012,Лебедев Павел Михайловна,10/05/2017,отчислен,3.37,2023,СПб,академ отпуск
STU001100,Смирнов Алексей Алексеевна,2017,suspended,4.16,2021,Томск,
STU000872,Лебедев Егор Алексеевна,2020,suspended,4.44,2025,Казань,
STU000937,Петров Татьяна Михайловна,2017,академ,,2022,СПб,
STU000608,Козлов Алина Иванович,2016-07-15,ACTIVE,4.49,2020,Казань,перевод
STU000074,Лебедев Сергей Сергеевна,2016-01-07,выпущен,3.90,2022,СПб,
STU001248,Петров Павел Ивановна,2016-01-18,выпущен,4.47,2021,Казань,академ отпуск
STU001939,Иванов Алексей Сергеевич,02/25/2020,выпущен,"4,93",2026,Новосибирск,повтор
STU001578,Иванов Алексей Павловна,02/22/2016,выпущен,"3,36",2022,Москва,академ отпуск
STU000939,Петров Виктория Михайловна,2016,выпущен,"4,65",2021,Екатеринбург,перевод
STU002003,Попов Татьяна Павловна,2016-02-02,отчислен,5.00,2021,Новосибирск,
STU000990,Лебедев Дарья Павлович,18.08.2019,в академе,4.56,2023,Екатеринбург,перевод
STU002070,Иванов Алина Алексеевич,2018-10-04,выпущен,3.09,2023,Новосибирск,академ отпуск
,Петров Сергей Дмитриевна,2019,выпущен,"3,99",2025,Москва,перевод
STU000273,Соколов Михаил Алексеевич,2016-12-12,выпущен,3.14,2020,Новосибирск,академ отпуск
,Иванов Егор Павловна,02.12.2020,выпущен,"4,59",2026,СПб,повтор
STU000022,Попов Татьяна Иванович,2020-11-17,выпущен,"4,40",2025,Екатеринбург,
STU000159,Иванов Павел Ивановна,2020-09-11,выпущен,"4,22",2026,Казань,
STU001943,Лебедев Анна Павловна,2018,в академе,,2022,Томск,перевод
STU001252,Кузнецов Сергей Михайлович,2019-10-03,обучается,"4,09",2023,Томск,академ отпуск
STU000879,Иванов Сергей Сергеевич,2017-08-21,выпущен,4.23,2023,Екатеринбург,перевод
STU001230,Соколов Татьяна Михайлович,09/28/2018,выпущен,3.97,2022,СПб,повтор
STU000351,Соколов Сергей Павловна,2020,выпущен,3.43,2024,Екатеринбург,повтор
STU000886,Смирнов Егор Алексеевна,2019-09-19,выпущен,3.22,2024,Екатеринбург,
STU001259,Кузнецов Дмитрий Иванович,06.11.2018,выпущен,"3,63",2022,Казань,перевод
STU000353,Смирнов Никита Сергеевна,2018-02-27,выпущен,3.31,2023,Новосибирск,
STU001419,Соколов Никита Павловна,21.02.2016,отчислен,"4,18",2022,Казань,перевод
STU001420,Смирнов Алексей Алексеевич,04.11.2019,отчислен,4.38,2023,Новосибирск,перевод
STU001301,Петров Никита Павловна,2020-08-16,выпущен,3.99,2024,Екатеринбург,перевод
STU000956,Кузнецов Никита Дмитриевна,25.01.2018,в академе,"4,00",2023,Екатеринбург,повтор
STU001147,Петров Иван Павловна,2019-01-13,выпущен,"3,84",2024,Москва,академ отпуск
STU000157,Соколов Алина Алексеевич,2019-10-16,ACTIVE,,2025,Москва,
STU001689,Попов Егор Алексеевна,2017-09-19,выпущен,4.36,2023,Екатеринбург,перевод
,Попов Дмитрий Михайлович,07/11/2020,отчислен,4.29,2024,СПб,повтор
STU001723,Иванов Татьяна Павловна,2020-08-12,отчислен,4.13,2026,Новосибирск,
STU001839,Соколов Алексей Павлович,08.02.2017,enrolled,3.73,2021,Казань,
STU001475,Лебедев Анна Иванович,2019-03-27,graduated,3.42,2025,Казань,
STU000542,Попов Алексей Михайловна,2017-06-01,выпущен,4.18,2023,СПб,
STU001453,Кузнецов Сергей Ивановна,2018,выпущен,"3,96",2022,Казань,
STU002068,Петров Татьяна Михайловна,2018-10-10,отчислен,"3,88",2022,Казань,академ отпуск
STU000342,Кузнецов Михаил Сергеевна,12/23/2019,обучается,4.68,2025,Казань,перевод
STU001899,Петров Дарья Алексеевич,2019,отчислен,4.22,2024,Томск,повтор
STU000522,Лебедев Виктория Алексеевич,11.08.2020,выпущен,3.07,2025,Екатеринбург,повтор
STU000057,Попов Павел Алексеевна,2020,отчислен,3.44,2026,СПб,академ отпуск
STU001943,Лебедев Анна Павловна,25.10.2018,академ,"3,57",2022,Екатеринбург,
STU001242,Кузнецов Дарья Дмитриевна,20.06.2020,выпущен,"4,10",2024,Москва,
STU000767,Попов Дарья Дмитриевич,03/05/2017,отчислен,3.90,2023,Екатеринбург,академ отпуск
STU002286,Соколов Иван Алексеевна,2020-11-20,отчислен,"3,12",2024,Новосибирск,
STU002240,Иванов Павел Дмитриевич,2019,Учится,3.77,2025,Новосибирск,
STU000330,Соколов Виктория Дмитриевич,07/26/2019,suspended,"3,63",2023,СПб,
STU000151,Лебедев Дарья Алексеевич,2018-10-22,отчислен,"3,09",2024,Москва,
STU001059,Лебедев Павел Иванович,2019-02-20,graduated,4.13,2024,Екатеринбург,академ отпуск
STU000068,Кузнецов Павел Ивановна,02/03/2019,отчислен,4.11,2023,Томск,повтор
STU000995,Кузнецов Татьяна Алексеевич,10/21/2017,выпущен,3.90,2022,Москва,академ отпуск
STU001030,Кузнецов Никита Дмитриевич,2018-02-10,выпущен,"2,97",2024,Казань,академ отпуск
STU000585,Лебедев Михаил Павлович,2016,выпущен,,2021,Томск,академ отпуск
STU001295,Петров Дарья Павлович,2020-03-06,выпущен,"3,59",2025,Томск,перевод
STU000196,Попов Никита Дмитриевна,01/19/2017,обучается,"3,45",2021,Новосибирск,
STU000251,Смирнов Иван Дмитриевна,19.01.2020,enrolled,4.72,2024,СПб,
STU000196,Попов Никита Дмитриевна,02.11.2017,graduated,3.32,2021,Новосибирск,повтор
STU000569,Козлов Елена Дмитриевич,15.04.2018,выпущен,4.55,2023,Новосибирск,повтор
STU000733,Козлов Егор Сергеевич,08.08.2020,выпущен,4.24,2024,Казань,перевод
STU002003,Попов Татьяна Павловна,2016,graduated,"4,54",2021,Томск,академ отпуск
STU000184,Козлов Анна Дмитриевна,2016,выпущен,4.40,2022,СПб,перевод
STU000545,Попов Татьяна Алексеевна,12/23/2017,отчислен,,2023,Москва,перевод
STU000779,Петров Сергей Сергеевич,2018-02-20,отчислен,"4,26",2022,Казань,перевод
STU001259,Кузнецов Дмитрий Иванович,04.12.2018,graduated,4.23,2022,СПб,
,Иванов Сергей Сергеевна,25.02.2020,выпущен,4.03,2026,Казань,
STU001619,Попов Дарья Алексеевич,2018,graduated,3.52,2024,Новосибирск,
STU002272,Лебедев Елена Иванович,12/24/2019,выпущен,4.81,2025,Казань,
STU001321,Кузнецов Виктория Михайлович,10/23/2019,в академе,"4,05",2023,Екатеринбург,академ отпуск
STU000762,Смирнов Дмитрий Михайловна,21.10.2019,graduated,3.02,2023,Москва,перевод
STU001389,Попов Алексей Михайловна,18.02.2017,отчислен,2.83,2021,Томск,
STU001441,Петров Егор Михайловна,2020,выпущен,5.00,2024,Казань,перевод
STU002039,Лебедев Михаил Сергеевна,04/06/2016,выпущен,"3,46",2020,Новосибирск,
STU001048,Козлов Виктория Михайловна,2019-05-24,выпущен,3.99,2024,Казань,повтор
STU000043,Козлов Дарья Дмитриевна,06/19/2016,отчислен,"4,37",2020,СПб,повтор
STU001885,Петров Иван Дмитриевна,27.09.2017,в академе,"4,26",2021,СПб,перевод
STU001490,Лебедев Михаил Михайловна,03.04.2017,enrolled,4.59,2022,Новосибирск,повтор
STU001990,Лебедев Мария Михайловна,26.08.2017,академ,,2021,Екатеринбург,
STU000917,Петров Виктория Алексеевна,06/22/2019,graduated,4.23,2024,Москва,академ отпуск
,Иванов Иван Алексеевна,01/24/2018,отчислен,3.57,2023,Москва,
STU000263,Козлов Михаил Дмитриевна,07/21/2020,выпущен,"4,75",2024,Томск,
STU000443,Кузнецов Анна Дмитриевна,2016-01-26,выпущен,"4,38",2020,Новосибирск,академ отпуск
STU000628,Кузнецов Татьяна Иванович,2018,отчислен,4.27,2024,Москва,академ отпуск
,Петров Никита Сергеевна,08.11.2019,выпущен,4.43,2023,Казань,перевод
STU001844,Смирнов Алексей Сергеевич,2017-04-24,выпущен,2.87,2022,Казань,перевод
STU001487,Лебедев Елена Павлович,07/16/2016,enrolled,"4,40",2022,СПб,
STU001756,Кузнецов Иван Павлович,2016-07-23,выпущен,3.83,2020,Новосибирск,
STU000660,Козлов Алексей Павловна,14.04.2020,graduated,"3,04",2024,Новосибирск,
STU001056,Кузнецов Виктория Алексеевич,26.11.2017,выпущен,"4,52",2023,Томск,академ отпуск
STU001477,Кузнецов Татьяна Алексеевич,2020-08-26,выпущен,4.48,2024,СПб,академ отпуск
STU000389,Смирнов Иван Михайловна,2019,Учится,4.28,2025,Казань,
STU000465,Лебедев Никита Михайловна,11/06/2016,отчислен,4.23,2021,Новосибирск,повтор
STU000837,Козлов Виктория Алексеевна,2016,отчислен,"4,58",2020,Новосибирск,
STU001063,Соколов Елена Дмитриевна,2020,выпущен,5.00,2025,Казань,академ отпуск
STU001059,Лебедев Павел Иванович,2019,выпущен,4.34,2024,Томск,академ отпуск
STU001034,Козлов Виктория Дмитриевич,21.06.2019,отчислен,3.36,2025,Томск,академ отпуск
STU000578,Петров Татьяна Павлович,2018,выпущен,"3,70",2023,Томск,
STU000997,Козлов Алексей Дмитриевна,2019,академ,4.65,2023,СПб,академ отпуск
STU002269,Соколов Анна Алексеевна,2017-01-22,выпущен,"4,86",2022,СПб,перевод
STU000131,Козлов Дарья Михайлович,18.08.2020,выпущен,,2025,СПб,
STU001577,Козлов Михаил Сергеевич,10.06.2016,Учится,3.42,2020,СПб,
STU000023,Лебедев Егор Алексеевич,19.05.2017,graduated,3.52,2023,СПб,повтор
STU001952,Иванов Павел Алексеевна,05/22/2020,отчислен,,2025,Москва,повтор
STU001098,Лебедев Татьяна Дмитриевна,2020,выпущен,"3,13",2025,Екатеринбург,повтор
STU001811,Попов Елена Михайловна,14.09.2020,академ,3.71,2024,Новосибирск,перевод
STU000454,Соколов Егор Павловна,2016-04-16,отчислен,3.77,2022,Томск,повтор
STU000092,Кузнецов Дмитрий Павлович,2018-12-08,академ,"4,90",2022,СПб,повтор
STU001053,Иванов Дмитрий Иванович,06.11.2016,отчислен,"3,68",2022,Томск,перевод
STU002377,Кузнецов Татьяна Павлович,06/25/2019,отчислен,3.26,2023,Екатеринбург,
STU002193,Соколов Елена Дмитриевич,2017-06-01,выпущен,"4,71",2023,Казань,перевод
STU000120,Петров Алина Дмитриевич,2020,отчислен,4.97,2025,Томск,
STU000104,Кузнецов Сергей Сергеевна,2017,выпущен,4.58,2022,Екатеринбург,академ отпуск
STU000352,Лебедев Мария Иванович,2019,выпущен,2.91,2024,Новосибирск,
STU001042,Иванов Дарья Алексеевна,19.05.2017,выпущен,3.41,2022,Томск,
STU000606,Иванов Михаил Иванович,19.10.2018,выпущен,4.26,2022,Москва,академ отпуск
STU001899,Петров Дарья Алексеевич,16.05.2019,graduated,4.19,2024,Екатеринбург,повтор
STU000023,Лебедев Егор Алексеевич,2017,обучается,3.60,2023,Екатеринбург,академ отпуск
STU000263,Козлов Михаил Дмитриевна,18.12.2020,graduated,4.44,2024,Томск,
STU002363,Соколов Дарья Иванович,22.12.2018,отчислен,4.52,2024,СПб,
STU001399,Лебедев Мария Михайловна,06/17/2019,выпущен,3.10,2023,Екатеринбург,повтор
STU001922,Попов Никита Дмитриевич,04/28/2019,enrolled,"4,59",2024,Новосибирск,перевод
,Попов Дарья Сергеевич,03.10.2017,выпущен,"3,46",2022,Новосибирск,
STU000704,Попов Виктория Михайлович,2016-05-08,выпущен,"4,37",2021,Казань,
STU002215,Кузнецов Иван Алексеевна,04/14/2020,выпущен,4.25,2025,Казань,повтор
STU001876,Соколов Дарья Иванович,2016-08-07,выпущен,3.03,2022,Новосибирск,перевод
STU001053,Иванов Дмитрий Иванович,2016,академ,3.43,2022,СПб,повтор
STU000823,Лебедев Мария Ивановна,13.10.2020,graduated,4.66,2024,Томск,перевод
STU001839,Соколов Алексей Павлович,2017-03-03,graduated,3.73,2021,Казань,академ отпуск
STU000203,Смирнов Егор Алексеевич,21.07.2018,академ,3.18,2024,Екатеринбург,
STU002193,Соколов Елена Дмитриевич,01/18/2017,выпущен,4.59,2023,СПб,академ отпуск
STU002337,Козлов Татьяна Сергеевич,11/26/2019,академ,4.93,2024,СПб,
STU001255,Кузнецов Татьяна Ивановна,2019,выпущен,3.22,2023,Томск,повтор
STU001252,Кузнецов Сергей Михайлович,2019-11-16,выпущен,4.23,2023,Екатеринбург,повтор
STU002139,Лебедев Иван Дмитриевич,20.12.2017,graduated,4.25,2023,Томск,перевод
STU000103,Соколов Алексей Иванович,2017,отчислен,3.45,2023,СПб,
STU002329,Смирнов Мария Павлович,10.05.2018,в академе,3.73,2022,Казань,
STU001089,Попов Сергей Сергеевна,2019-09-07,выпущен,4.38,2023,Екатеринбург,академ отпуск
STU001325,Козлов Михаил Ивановна,02.09.2016,выпущен,3.62,2021,Москва,
STU000112,Соколов Виктория Михайлович,08/02/2017,обучается,3.48,2022,Томск,перевод
STU000758,Смирнов Алексей Дмитриевна,05/13/2018,выпущен,,2024,Томск,повтор
STU000112,Соколов Виктория Михайлович,2017-02-26,отчислен,3.55,2022,Томск,академ отпуск
STU000787,Кузнецов Михаил Ивановна,2019,выпущен,"3,54",2023,Екатеринбург,академ отпуск
STU000737,Соколов Ольга Ивановна,2016,академ,,2022,Новосибирск,академ отпуск
STU001784,Иванов Мария Сергеевна,2016,академ,"3,75",2021,Томск,
STU000779,Петров Сергей Сергеевич,15.11.2018,выпущен,4.35,2022,Казань,повтор
STU000078,Иванов Анна Дмитриевна,2018-12-22,отчислен,"2,93",2023,СПб,
STU002048,Козлов Павел Сергеевна,2020,выпущен,4.26,2025,Казань,
STU001404,Петров Дарья Дмитриевич,2020,выпущен,"3,15",2025,Томск,повтор
STU001475,Лебедев Анна Иванович,22.05.2019,выпущен,3.57,2025,Екатеринбург,
,Кузнецов Виктория Павлович,05/17/2019,выпущен,"4,64",2024,Екатеринбург,перевод
STU000142,Смирнов Сергей Ивановна,03/26/2019,обучается,,2024,Томск,перевод
STU000394,Попов Егор Ивановна,2020-05-03,отчислен,"4,14",2025,Новосибирск,академ отпуск
STU001454,Петров Егор Иванович,08/24/2020,выпущен,"4,38",2024,Екатеринбург,
STU001556,Попов Дарья Дмитриевна,2016-10-18,выпущен,3.96,2020,Новосибирск,перевод
STU001998,Козлов Мария Сергеевич,2017,выпущен,3.88,2023,Казань,
STU001480,Лебедев Алина Алексеевич,2017,отчислен,4.40,2021,Москва,перевод
STU001224,Соколов Ольга Алексеевна,2020-05-25,выпущен,3.54,2025,СПб,академ отпуск
STU002343,Петров Елена Михайлович,2017,отчислен,4.36,2021,Новосибирск,
STU001411,Лебедев Никита Павлович,10/25/2019,отчислен,"3,47",2025,СПб,перевод
STU002197,Соколов Дмитрий Михайловна,2016-02-28,выпущен,"2,96",2021,Томск,перевод
STU002357,Козлов Татьяна Сергеевна,2017-11-23,graduated,4.69,2022,Новосибирск,
STU002315,Смирнов Сергей Павловна,2017-04-18,в академе,,2021,СПб,
STU002395,Кузнецов Никита Михайловна,2018-12-20,выпущен,"4,66",2022,Екатеринбург,академ отпуск
,Иванов Егор Дмитриевна,06/20/2016,отчислен,3.28,2021,Казань,академ отпуск
STU000545,Попов Татьяна Алексеевна,2017,отчислен,5.00,2023,Казань,академ отпуск
STU001224,Соколов Ольга Алексеевна,23.05.2020,академ,"3,54",2025,Томск,
STU001487,Лебедев Елена Павлович,2016,выпущен,4.65,2022,Москва,
STU001131,Соколов Михаил Алексеевна,02/25/2019,обучается,5.00,2023,СПб,перевод
STU001246,Козлов Татьяна Сергеевич,2016,выпущен,"4,14",2021,Томск,
STU000088,Кузнецов Алина Павлович,2017-04-07,выпущен,,2022,Новосибирск,повтор
STU000530,Козлов Татьяна Алексеевич,10/18/2016,отчислен,"2,95",2020,Казань,
STU001679,Соколов Дарья Сергеевна,09/13/2016,академ,"3,37",2022,Новосибирск,
STU001881,Козлов Дарья Алексеевна,01.06.2019,отчислен,4.62,2025,Москва,перевод
STU002200,Попов Павел Михайлович,03/03/2016,обучается,4.69,2021,Казань,
STU000578,Петров Татьяна Павлович,17.10.2018,выпущен,3.88,2023,Москва,повтор
STU001454,Петров Егор Иванович,2020-02-26,отчислен,,2024,Казань,
STU001547,Лебедев Михаил Михайловна,18.04.2016,выпущен,3.88,2021,СПб,повтор
STU001841,Попов Алина Дмитриевич,2020-02-19,graduated,"4,35",2025,Казань,перевод
STU000608,Козлов Алина Иванович,08/27/2016,выпущен,,2020,Екатеринбург,повтор
STU000741,Петров Дарья Дмитриевна,2017,graduated,4.52,2022,Новосибирск,перевод
STU002250,Попов Дарья Иванович,07.09.2019,выпущен,"3,76",2023,Екатеринбург,академ отпуск
STU000649,Лебедев Татьяна Алексеевич,2018-09-05,выпущен,"4,50",2023,СПб,
STU001055,Смирнов Ольга Дмитриевна,2016,выпущен,4.25,2022,Томск,академ отпуск
STU000311,Козлов Елена Иванович,2019,отчислен,3.25,2025,Казань,перевод
STU001594,Козлов Елена Алексеевич,02/21/2020,graduated,3.43,2024,Новосибирск,повтор
STU001939,Иванов Алексей Сергеевич,2020-08-24,выпущен,4.56,2026,Томск,академ отпуск
STU000975,Попов Дарья Ивановна,21.01.2016,выпущен,4.81,2021,Казань,
STU000978,Козлов Елена Дмитриевич,2016-07-22,выпущен,3.25,2022,Томск,повтор
STU000056,Петров Павел Павлович,2020,Учится,"3,38",2024,Новосибирск,повтор
STU002343,Петров Елена Михайлович,2017,Учится,4.46,2021,Екатеринбург,
STU000408,Иванов Мария Павлович,09/17/2020,выпущен,4.72,2025,Москва,академ отпуск
STU000759,Соколов Елена Ивановна,08/06/2017,отчислен,4.57,2022,Москва,академ отпуск
STU001550,Петров Татьяна Ивановна,01/26/2018,graduated,"4,06",2022,Екатеринбург,
STU002231,Козлов Иван Дмитриевна,03/15/2016,выпущен,3.43,2021,Москва,
STU001255,Кузнецов Татьяна Ивановна,2019,выпущен,"2,83",2023,Казань,повтор
STU002394,Лебедев Анна Сергеевич,26.08.2019,выпущен,3.91,2023,Екатеринбург,перевод
STU002001,Кузнецов Михаил Алексеевна,2017,выпущен,4.56,2022,Томск,академ отпуск
